ID,key_json,value_json
1,0,"223.255.229.1 - - [04/Aug/2021:13:33:39 +0700] ""GET /a/query/drpGetEmpByEmpId?empcd=55201645&coycd=WAX HTTP/1.1"" 200 356 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.020 uct=""0.000"" uht=""0.020"" urt=""0.020"" gz=""2.53"""
2,1,"114.5.215.123 - - [04/Aug/2021:13:33:39 +0700] ""GET /a/3pl/csn?id=TTAJ9TA1&register=0&location=684&latitude=-6.2090579&longitude=106.9829228&reference=TML%2FWAX23655%40684 HTTP/1.1"" 200 4841 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.724 uct=""0.001"" uht=""0.720"" urt=""0.724"" gz=""8.37"""
3,2,"114.79.7.138 - - [04/Aug/2021:13:33:39 +0700] ""GET /a/query/drpGetLogisticRole?login=WAX22273 HTTP/1.1"" 200 549 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.022 uct=""0.000"" uht=""0.021"" urt=""0.021"" gz=""3.48"""
4,3,"114.79.6.249 - - [04/Aug/2021:13:33:40 +0700] ""GET /a/3pl/csn/cur/WAX22058?consignmentId=3RM4Y9TH&referenceType=32 HTTP/1.1"" 200 576 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.830 uct=""0.000"" uht=""0.830"" urt=""0.830"" gz=""2.31"""
5,4,"103.10.66.76 - - [04/Aug/2021:13:33:40 +0700] ""GET /a/3pl/csn/cur/WAX22057?consignmentId=43MTC7D1&referenceType=32 HTTP/1.1"" 200 554 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.823 uct=""0.000"" uht=""0.824"" urt=""0.824"" gz=""2.33"""
6,5,"112.215.65.43 - - [04/Aug/2021:13:33:40 +0700] ""GET /a/3pl/dash/kpi/courier/WAX22190 HTTP/1.1"" 200 157 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.391 uct=""0.000"" uht=""0.390"" urt=""0.390"" gz=""1.62"""
7,6,"116.206.13.84 - - [04/Aug/2021:13:33:40 +0700] ""GET /a/query/drpGetJenisPenerima HTTP/1.1"" 200 287 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.022 uct=""0.000"" uht=""0.021"" urt=""0.021"" gz=""2.44"""
8,7,"116.206.13.84 - - [04/Aug/2021:13:33:40 +0700] ""GET /a/query/drpGetLogisticRole?login=WAX24382 HTTP/1.1"" 200 538 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.023 uct=""0.000"" uht=""0.023"" urt=""0.023"" gz=""3.42"""
9,8,"114.4.217.13 - - [04/Aug/2021:13:33:40 +0700] ""GET /a/3pl/dash/kpi/courier/WAX24355 HTTP/1.1"" 200 159 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.434 uct=""0.000"" uht=""0.433"" urt=""0.433"" gz=""1.62"""
10,9,"120.188.2.215 - - [04/Aug/2021:13:33:40 +0700] ""GET /a/3pl/csn/cur/WAX22317?consignmentId=5jt94rrr&referenceType=32 HTTP/1.1"" 200 555 ""https://drp.ds1.pideltaro.com/app/dcaf/"" rt=0.826 uct=""0.000"" uht=""0.827"" urt=""0.827"" gz=""2.40"""
